tariff_units,second_class_full_tariff,second_class_20_discount_tariff,second_class_40_discount_tariff,second_class_full_tariff_ex_tax
88,"€ 16,90 ","€ 13,52 ","€ 10,14 ","€ 15,50 "
89,"€ 17,10 ","€ 13,68 ","€ 10,26 ","€ 15,69 "
90,"€ 17,20 ","€ 13,76 ","€ 10,32 ","€ 15,78 "
91,"€ 17,40 ","€ 13,92 ","€ 10,44 ","€ 15,96 "
92,"€ 17,50 ","€ 14,00 ","€ 10,50 ","€ 16,06 "
93,"€ 17,70 ","€ 14,16 ","€ 10,62 ","€ 16,24 "
94,"€ 17,80 ","€ 14,24 ","€ 10,68 ","€ 16,33 "
95,"€ 17,90 ","€ 14,32 ","€ 10,74 ","€ 16,42 "
96,"€ 18,10 ","€ 14,48 ","€ 10,86 ","€ 16,61 "
97,"€ 18,20 ","€ 14,56 ","€ 10,92 ","€ 16,70 "
98,"€ 18,40 ","€ 14,72 ","€ 11,04 ","€ 16,88 "
99,"€ 18,50 ","€ 14,80 ","€ 11,10 ","€ 16,97 "
100,"€ 18,60 ","€ 14,88 ","€ 11,16 ","€ 17,06 "
101,"€ 18,80 ","€ 15,04 ","€ 11,28 ","€ 17,25 "
102,"€ 18,90 ","€ 15,12 ","€ 11,34 ","€ 17,34 "
103,"€ 19,00 ","€ 15,20 ","€ 11,40 ","€ 17,43 "
104,"€ 19,20 ","€ 15,36 ","€ 11,52 ","€ 17,61 "
105,"€ 19,30 ","€ 15,44 ","€ 11,58 ","€ 17,71 "
106,"€ 19,40 ","€ 15,52 ","€ 11,64 ","€ 17,80 "
107,"€ 19,60 ","€ 15,68 ","€ 11,76 ","€ 17,98 "
108,"€ 19,70 ","€ 15,76 ","€ 11,82 ","€ 18,07 "
109,"€ 19,80 ","€ 15,84 ","€ 11,88 ","€ 18,17 "
110,"€ 19,90 ","€ 15,92 ","€ 11,94 ","€ 18,26 "
111,"€ 20,10 ","€ 16,08 ","€ 12,06 ","€ 18,44 "
112,"€ 20,20 ","€ 16,16 ","€ 12,12 ","€ 18,53 "
113,"€ 20,20 ","€ 16,16 ","€ 12,12 ","€ 18,53 "
114,"€ 20,50 ","€ 16,40 ","€ 12,30 ","€ 18,81 "
115,"€ 20,60 ","€ 16,48 ","€ 12,36 ","€ 18,90 "
116,"€ 20,70 ","€ 16,56 ","€ 12,42 ","€ 18,99 "
117,"€ 20,80 ","€ 16,64 ","€ 12,48 ","€ 19,08 "
