"tariff_units","second_class_full_tariff","second_class_20_discount_tariff","second_class_40_discount_tariff","second_class_full_tariff_ex_tax"
"0 t/m 8","€ 2,2","€ 1,8","€ 1,3","€ 2,00"
"9","€ 2,5","€ 2","€ 1,5","€ 2,27"
"10","€ 2,7","€ 2,2","€ 1,6","€ 2,45"
"11","€ 2,8","€ 2,2","€ 1,7","€ 2,54"
"12","€ 3","€ 2,4","€ 1,8","€ 2,73"
"13","€ 3,1","€ 2,5","€ 1,9","€ 2,82"
"14","€ 3,3","€ 2,6","€ 2","€ 3,00"
"15","€ 3,5","€ 2,8","€ 2,1","€ 3,18"
"16","€ 3,6","€ 2,9","€ 2,2","€ 3,27"
"17","€ 3,8","€ 3","€ 2,3","€ 3,45"
"18","€ 4","€ 3,2","€ 2,4","€ 3,64"
"19","€ 4,2","€ 3,4","€ 2,5","€ 3,82"
"20","€ 4,3","€ 3,4","€ 2,6","€ 3,91"
"21","€ 4,5","€ 3,6","€ 2,7","€ 4,09"
"22","€ 4,6","€ 3,7","€ 2,8","€ 4,18"
"23","€ 4,8","€ 3,8","€ 2,9","€ 4,36"
"24","€ 5","€ 4","€ 3","€ 4,55"
"25","€ 5,1","€ 4,1","€ 3,1","€ 4,64"
"26","€ 5,3","€ 4,2","€ 3,2","€ 4,82"
"27","€ 5,5","€ 4,4","€ 3,3","€ 5,00"
"28","€ 5,6","€ 4,5","€ 3,4","€ 5,09"
"29","€ 5,8","€ 4,6","€ 3,5","€ 5,27"
"30","€ 6","€ 4,8","€ 3,6","€ 5,46"
"31","€ 6,2","€ 5","€ 3,7","€ 5,64"
"32","€ 6,3","€ 5","€ 3,8","€ 5,73"
"33","€ 6,5","€ 5,2","€ 3,9","€ 5,91"
"34","€ 6,7","€ 5,4","€ 4","€ 6,09"
"35","€ 6,8","€ 5,4","€ 4,1","€ 6,18"
"36","€ 7","€ 5,6","€ 4,2","€ 6,37"
"37","€ 7,2","€ 5,8","€ 4,3","€ 6,55"
"38","€ 7,3","€ 5,8","€ 4,4","€ 6,64"
"39","€ 7,5","€ 6","€ 4,5","€ 6,82"
"40","€ 7,7","€ 6,2","€ 4,6","€ 7,00"
"41","€ 7,8","€ 6,2","€ 4,7","€ 7,09"
"42","€ 8","€ 6,4","€ 4,8","€ 7,28"
"43","€ 8,2","€ 6,6","€ 4,9","€ 7,46"
"44","€ 8,3","€ 6,6","€ 5","€ 7,55"
"45","€ 8,5","€ 6,8","€ 5,1","€ 7,73"
"46","€ 8,7","€ 7","€ 5,2","€ 7,91"
"47","€ 8,8","€ 7","€ 5,3","€ 8,00"
"48","€ 9","€ 7,2","€ 5,4","€ 8,19"
"49","€ 9,2","€ 7,4","€ 5,5","€ 8,37"
"50","€ 9,3","€ 7,4","€ 5,6","€ 8,46"
"51","€ 9,5","€ 7,6","€ 5,7","€ 8,64"
"52","€ 9,7","€ 7,8","€ 5,8","€ 8,82"
"53","€ 9,8","€ 7,8","€ 5,9","€ 8,91"
