"tariff_units","second_class_full_tariff","second_class_20_discount_tariff","second_class_40_discount_tariff","second_class_full_tariff_ex_tax"
"0 t/m 8","€ 2,30","€ 1,80","€ 1,40","€ 1,27"
"9","€ 2,50","€ 2,00","€ 1,50","€ 1,36"
"10","€ 2,70","€ 2,20","€ 1,60","€ 1,45"
"11","€ 2,80","€ 2,20","€ 1,70","€ 1,54"
"12","€ 3,00","€ 2,40","€ 1,80","€ 1,63"
"13","€ 3,10","€ 2,50","€ 1,90","€ 1,72"
"14","€ 3,30","€ 2,60","€ 2,00","€ 1,82"
"15","€ 3,50","€ 2,80","€ 2,10","€ 1,91"
"16","€ 3,60","€ 2,90","€ 2,20","€ 2,00"
"17","€ 3,80","€ 3,00","€ 2,30","€ 2,09"
"18","€ 4,00","€ 3,20","€ 2,40","€ 2,18"
"19","€ 4,20","€ 3,40","€ 2,50","€ 2,27"
"20","€ 4,40","€ 3,50","€ 2,60","€ 2,36"
"21","€ 4,50","€ 3,60","€ 2,70","€ 2,45"
"22","€ 4,70","€ 3,80","€ 2,80","€ 2,54"
"23","€ 4,80","€ 3,80","€ 2,90","€ 2,63"
"24","€ 5,00","€ 4,00","€ 3,00","€ 2,73"
"25","€ 5,20","€ 4,20","€ 3,10","€ 2,82"
"26","€ 5,30","€ 4,20","€ 3,20","€ 2,91"
"27","€ 5,50","€ 4,40","€ 3,30","€ 3,00"
"28","€ 5,70","€ 4,60","€ 3,40","€ 3,09"
"29","€ 5,80","€ 4,60","€ 3,50","€ 3,18"
"30","€ 6,00","€ 4,80","€ 3,60","€ 3,27"
"31","€ 6,20","€ 5,00","€ 3,70","€ 3,36"
"32","€ 6,30","€ 5,00","€ 3,80","€ 3,45"
"33","€ 6,50","€ 5,20","€ 3,90","€ 3,54"
"34","€ 6,70","€ 5,40","€ 4,00","€ 3,64"
"35","€ 6,80","€ 5,40","€ 4,10","€ 3,73"
"36","€ 7,00","€ 5,60","€ 4,20","€ 3,82"
"37","€ 7,20","€ 5,80","€ 4,30","€ 3,91"
"38","€ 7,40","€ 5,90","€ 4,40","€ 4,00"
"39","€ 7,50","€ 6,00","€ 4,50","€ 4,09"
"40","€ 7,70","€ 6,20","€ 4,60","€ 4,18"
"41","€ 7,90","€ 6,30","€ 4,70","€ 4,27"
"42","€ 8,00","€ 6,40","€ 4,80","€ 4,36"
"43","€ 8,20","€ 6,60","€ 4,90","€ 4,45"
"44","€ 8,30","€ 6,60","€ 5,00","€ 4,55"
"45","€ 8,50","€ 6,80","€ 5,10","€ 4,64"
"46","€ 8,70","€ 7,00","€ 5,20","€ 4,73"
"47","€ 8,80","€ 7,00","€ 5,30","€ 4,82"
"48","€ 9,00","€ 7,20","€ 5,40","€ 4,91"
"49","€ 9,20","€ 7,40","€ 5,50","€ 5,00"
"50","€ 9,30","€ 7,40","€ 5,60","€ 5,09"
"51","€ 9,50","€ 7,60","€ 5,70","€ 5,18"
"52","€ 9,70","€ 7,80","€ 5,80","€ 5,27"
"53","€ 9,80","€ 7,80","€ 5,90","€ 5,36"
