"tariff_units","second_class_full_tariff","second_class_20_discount_tariff","second_class_40_discount_tariff","second_class_full_tariff_ex_tax"
"96","€ 17,80","€ 14,24","€ 10,68","€ 16,33"
"97","€ 18,00","€ 14,40","€ 10,80","€ 16,51"
"98","€ 18,10","€ 14,48","€ 10,86","€ 16,61"
"99","€ 18,30","€ 14,64","€ 10,98","€ 16,79"
"100","€ 18,40","€ 14,72","€ 11,04","€ 16,88"
"101","€ 18,50","€ 14,80","€ 11,10","€ 16,97"
"102","€ 18,70","€ 14,96","€ 11,22","€ 17,16"
"103","€ 18,80","€ 15,04","€ 11,28","€ 17,25"
"104","€ 18,90","€ 15,12","€ 11,34","€ 17,34"
"105","€ 19,00","€ 15,20","€ 11,40","€ 17,43"
"106","€ 19,20","€ 15,36","€ 11,52","€ 17,61"
"107","€ 19,30","€ 15,44","€ 11,58","€ 17,71"
"0 t/m 8","€ 2,40","€ 1,92","€ 1,44","€ 2,20"
"9","€ 2,60","€ 2,08","€ 1,56","€ 2,39"
"10","€ 2,80","€ 2,24","€ 1 ,68","€ 2,57"
"11","€ 3,00","€ 2,40","€ 1,80","€ 2,75"
"12","€ 3,20","€ 2,56","€ 1,92","€ 2,94"
"13","€ 3,40","€ 2,72","€ 2,04","€ 3,12"
"14","€ 3,60","€ 2,88","€ 2,16","€ 3,30"
"15","€ 3,80","€ 3,04","€ 2,28","€ 3,49"
"16","€ 3,90","€ 3,12","€ 2,34","€ 3,58"
"17","€ 4,10","€ 3,28","€ 2,46","€ 3,76"
"18","€ 4,30","€ 3,44","€ 2,58","€ 3,94"
"19","€ 4,50","€ 3,60","€ 2,70","€ 4,13"
"20","€ 4,70","€ 3,76","€ 2,82","€ 4,31"
"21","€ 4,90","€ 3,92","€ 2,94","€ 4,50"
"22","€ 5,00","€ 4,00","€ 3,00","€ 4,59"
"23","€ 5,20","€ 4,16","€ 3,12","€ 4,77"
"24","€ 5,40","€ 4,32","€ 3,24","€ 4,95"
"25","€ 5,60","€ 4,48","€ 3,36","€ 5,14"
"26","€ 5,80","€ 4,64","€ 3,48","€ 5,32"
"27","€ 5,90","€ 4,72","€ 3,54","€ 5,41"
"28","€ 6,10","€ 4,88","€ 3,66","€ 5,60"
"29","€ 6,30","€ 5,04","€ 3,78","€ 5,78"
"30","€ 6,50","€ 5,20","€ 3,90","€ 5,96"
"31","€ 6,70","€ 5,36","€ 4,02","€ 6,15"
"32","€ 6,90","€ 5,52","€ 4,14","€ 6,33"
"33","€ 7,00","€ 5,60","€ 4,20","€ 6,42"
"34","€ 7,20","€ 5,76","€ 4,32","€ 6,61"
"35","€ 7,40","€ 5,92","€ 4,44","€ 6,79"
"36","€ 7,60","€ 6,08","€ 4,56","€ 6,97"
"37","€ 7,80","€ 6,24","€ 4,68","€ 7,16"
"38","€ 7,90","€ 6,32","€ 4,74","€ 7,25"
"39","€ 8,10","€ 6,48","€ 4,86","€ 7,43"
"40","€ 8,30","€ 6,64","€ 4,98","€ 7,61"
"41","€ 8,50","€ 6,80","€ 5,10","€ 7,80"
"42","€ 8,70","€ 6,96","€ 5,22","€ 7,98"
"43","€ 8,90","€ 7,12","€ 5,34","€ 8,17"
"44","€ 9,00","€ 7,20","€ 5,40","€ 8,26"
"45","€ 9,20","€ 7,36","€ 5,52","€ 8,44"
"46","€ 9,40","€ 7,52","€ 5,64","€ 8,62"
"47","€ 9,60","€ 7,68","€ 5,76","€ 8,81"
"48","€ 9,80","€ 7,84","€ 5,88","€ 8,99"
"49","€ 9,90","€ 7,92","€ 5,94","€ 9,08"
