"tariff_units","second_class_full_tariff","second_class_20_discount_tariff","second_class_40_discount_tariff","second_class_full_tariff_ex_tax"
"50","€ 10,10","€ 8,08","€ 6,06","€ 9,27"
"51","€ 10,30","€ 8,24","€ 6,18","€ 9,45"
"52","€ 10,50","€ 8,40","€ 6,30","€ 9,63"
"53","€ 10,70","€ 8,56","€ 6,42","€ 9,82"
"54","€ 10,80","€ 8,64","€ 6,48","€ 9,91"
"55","€ 11,00","€ 8,80","€ 6,60","€ 10,09"
"56","€ 11,20","€ 8,96","€ 6,72","€ 10,28"
"57","€ 11,40","€ 9,12","€ 6,84","€ 10,46"
"58","€ 11,60","€ 9,28","€ 6,96","€ 10,64"
"59","€ 11,70","€ 9,36","€ 7,02","€ 10,73"
"60","€ 11,90","€ 9,52","€ 7,14","€ 10,92"
"61","€ 12,10","€ 9,68","€ 7,26","€ 11,10"
"62","€ 12,30","€ 9,84","€ 7,38","€ 11,28"
"63","€ 12,50","€ 10,00","€ 7,50","€ 11,47"
"64","€ 12,60","€ 10,08","€ 7,56","€ 11,56"
"65","€ 12,80","€ 10,24","€ 7,68","€ 11,74"
"66","€ 13,00","€ 10,40","€ 7,80","€ 11,93"
"67","€ 13,20","€ 10,56","€ 7,92","€ 12,11"
"68","€ 13,40","€ 10,72","€ 8,04","€ 12,29"
"69","€ 13,50","€ 10,80","€ 8,10","€ 12,39"
"70","€ 13,70","€ 10,96","€ 8,22","€ 12,57"
"71","€ 13,90","€ 11,12","€ 8,34","€ 12,75"
"72","€ 14,10","€ 11,28","€ 8,46","€ 12,94"
"73","€ 14,30","€ 11,44","€ 8,58","€ 13,12"
"74","€ 14,40","€ 11,52","€ 8,64","€ 13,21"
"75","€ 14,60","€ 11,68","€ 8,76","€ 13,39"
"76","€ 14,80","€ 11,84","€ 8,88","€ 13,58"
"77","€ 15,00","€ 12,00","€ 9,00","€ 13,76"
"78","€ 15,20","€ 12,16","€ 9,12","€ 13,94"
"79","€ 15,30","€ 12,24","€ 9,18","€ 14,04"
"80","€ 15,50","€ 12,40","€ 9,30","€ 14,22"
"81","€ 15,70","€ 12,56","€ 9,42","€ 14,40"
"82","€ 15,80","€ 12,64","€ 9,48","€ 14,50"
"83","€ 16,00","€ 12,80","€ 9,60","€ 14,68"
"84","€ 16,10","€ 12,88","€ 9,66","€ 14,77"
"85","€ 16,30","€ 13,04","€ 9,78","€ 14,95"
"86","€ 16,40","€ 13,12","€ 9,84","€ 15,05"
"87","€ 16,60","€ 13,28","€ 9,96","€ 15,23"
"88","€ 16,70","€ 13,36","€ 10,02","€ 15,32"
"89","€ 16,90","€ 13,52","€ 10,14","€ 15,50"
"90","€ 17,00","€ 13,60","€ 10,20","€ 15,60"
"91","€ 17,20","€ 13,76","€ 10,32","€ 15,78"
"92","€ 17,30","€ 13,84","€ 10,38","€ 15,87"
"93","€ 17,40","€ 13,92","€ 10,44","€ 15,96"
"94","€ 17,60","€ 14,08","€ 10,56","€ 16,15"
"95","€ 17,70","€ 14,16","€ 10,62","€ 16,24"
