"tariff_units","second_class_full_tariff","second_class_20_discount_tariff","second_class_40_discount_tariff","second_class_full_tariff_ex_tax"
"0 t/m 8","€ 2,3","€ 1,8","€ 1,4","€ 2,09"
"9","€ 2,5","€ 2","€ 1,5","€ 2,27"
"10","€ 2,7","€ 2,2","€ 1,6","€ 2,45"
"11","€ 2,8","€ 2,2","€ 1,7","€ 2,54"
"12","€ 3","€ 2,4","€ 1,8","€ 2,73"
"13","€ 3,2","€ 2,6","€ 1,9","€ 2,91"
"14","€ 3,4","€ 2,7","€ 2","€ 3,09"
"15","€ 3,5","€ 2,8","€ 2,1","€ 3,18"
"16","€ 3,7","€ 3","€ 2,2","€ 3,36"
"17","€ 3,9","€ 3,1","€ 2,3","€ 3,54"
"18","€ 4,1","€ 3,3","€ 2,5","€ 3,73"
"19","€ 4,3","€ 3,4","€ 2,6","€ 3,91"
"20","€ 4,4","€ 3,5","€ 2,6","€ 4,00"
"21","€ 4,6","€ 3,7","€ 2,8","€ 4,18"
"22","€ 4,7","€ 3,8","€ 2,8","€ 4,27"
"23","€ 4,9","€ 3,9","€ 2,9","€ 4,45"
"24","€ 5,1","€ 4,1","€ 3,1","€ 4,64"
"25","€ 5,2","€ 4,2","€ 3,1","€ 4,73"
"26","€ 5,4","€ 4,3","€ 3,2","€ 4,91"
"27","€ 5,6","€ 4,5","€ 3,4","€ 5,09"
"28","€ 5,7","€ 4,6","€ 3,4","€ 5,18"
"29","€ 5,9","€ 4,7","€ 3,5","€ 5,36"
"30","€ 6,1","€ 4,9","€ 3,7","€ 5,55"
"31","€ 6,3","€ 5","€ 3,8","€ 5,73"
"32","€ 6,4","€ 5,1","€ 3,8","€ 5,82"
"33","€ 6,6","€ 5,3","€ 4","€ 6,00"
"34","€ 6,8","€ 5,4","€ 4,1","€ 6,18"
"35","€ 6,9","€ 5,5","€ 4,1","€ 6,27"
"36","€ 7,1","€ 5,7","€ 4,3","€ 6,46"
"37","€ 7,3","€ 5,8","€ 4,4","€ 6,64"
"38","€ 7,4","€ 5,9","€ 4,4","€ 6,73"
"39","€ 7,6","€ 6,1","€ 4,6","€ 6,91"
"40","€ 7,8","€ 6,2","€ 4,7","€ 7,09"
"41","€ 8","€ 6,4","€ 4,8","€ 7,28"
"42","€ 8,1","€ 6,5","€ 4,9","€ 7,37"
"43","€ 8,3","€ 6,6","€ 5","€ 7,55"
"44","€ 8,5","€ 6,8","€ 5,1","€ 7,73"
"45","€ 8,6","€ 6,9","€ 5,2","€ 7,82"
"46","€ 8,8","€ 7","€ 5,3","€ 8,00"
"47","€ 9","€ 7,2","€ 5,4","€ 8,19"
"48","€ 9,1","€ 7,3","€ 5,5","€ 8,28"
"49","€ 9,3","€ 7,4","€ 5,6","€ 8,46"
"50","€ 9,5","€ 7,6","€ 5,7","€ 8,64"
"51","€ 9,6","€ 7,7","€ 5,8","€ 8,73"
"52","€ 9,8","€ 7,8","€ 5,9","€ 8, 91"
"53","€ 10","€ 8","€ 6","€ 9,1"
