brandstof_omschrijving,average_fuel_usage,number_of_cars
Benzine,5.7771393743853094,6984203
Diesel,5.58339257805254,1482495
LPG,7.645506778767102,64466
CNG,7.218882208253621,10977
Alcohol,9.017101972770213,3599
Waterstof,0.8660545905707197,403
Elektriciteit,5.115671641791045,67
LNG,5.779999999999999,5
