Aantal tariefeenheden;Voltarief incl. 9% btw;20% korting incl. 9% btw;2e klas 40% korting incl. 9% btw;vol tarief excl. btw
110;€ 21,40;€ 17,12;€ 12,84;€ 19,63
111;€ 21,60;€ 17,28;€ 12,96;€ 19,82
112;€ 21,70;€ 17,36;€ 13,02;€ 19,91
113;€ 21,80;€ 17,44;€ 13,08;€ 20,00
114;€ 22,00;€ 17,60;€ 13,20;€ 20,18
115;€ 22,10;€ 17,68;€ 13,26;€ 20,28
116;€ 22,20;€ 17,76;€ 13,32;€ 20,37
117;€ 22,40;€ 17,92;€ 13,44;€ 20,55
118;€ 22,50;€ 18,00;€ 13,50;€ 20,64
119;€ 22,70;€ 18,16;€ 13,62;€ 20,83
120;€ 22,80;€ 18,24;€ 13,68;€ 20,92
121;€ 22,90;€ 18,32;€ 13,74;€ 21,01
122;€ 23,00;€ 18,40;€ 13,80;€ 21,10
123;€ 23,10;€ 18,48;€ 13,86;€ 21,19
124;€ 23,20;€ 18,56;€ 13,92;€ 21,28
125;€ 23,20;€ 18,56;€ 13,92;€ 21,28
126;€ 23,30;€ 18,64;€ 13,98;€ 21,38
127;€ 23,40;€ 18,72;€ 14,04;€ 21,47
128;€ 23,50;€ 18,80;€ 14,10;€ 21,56
129;€ 23,60;€ 18,88;€ 14,16;€ 21,65
130;€ 23,70;€ 18,96;€ 14,22;€ 21,74
131;€ 23,80;€ 19,04;€ 14,28;€ 21,83
132;€ 23,90;€ 19,12;€ 14,34;€ 21,93
133;€ 24,00;€ 19,20;€ 14,40;€ 22,02
134;€ 24,00;€ 19,20;€ 14,40;€ 22,02
135;€ 24,10;€ 19,28;€ 14,46;€ 22,11
136;€ 24,20;€ 19,36;€ 14,52;€ 22,20
137;€ 24,30;€ 19,44;€ 14,58;€ 22,29
138;€ 24,40;€ 19,52;€ 14,64;€ 22,39
139;€ 24,50;€ 19,60;€ 14,70;€ 22,48
140;€ 24,60;€ 19,68;€ 14,76;€ 22,57
141;€ 24,70;€ 19,76;€ 14,82;€ 22,66
142;€ 24,80;€ 19,84;€ 14,88;€ 22,75
143;€ 24,80;€ 19,84;€ 14,88;€ 22,75
144;€ 24,90;€ 19,92;€ 14,94;€ 24,84
145;€ 25,00;€ 20,00;€ 15,00;€ 24,94
146;€ 25,10;€ 20,08;€ 15,06;€ 23,03
147;€ 25,20;€ 20,16;€ 15,12;€ 23,12
148;€ 25,30;€ 20,24;€ 15,18;€ 23,21
149;€ 25,40;€ 20,32;€ 15,24;€ 23,30
150;€ 25,50;€ 20,40;€ 15,30;€ 23,39
151;€ 25,60;€ 20,48;€ 15,36;€ 23,49
152;€ 25,60;€ 20,48;€ 15,36;€ 23,49
153;€ 25,70;€ 20,56;€ 15,42;€ 23,58
154;€ 25,80;€ 20,64;€ 15,48;€ 23,67
155;€ 25,90;€ 20,72;€ 15,54;€ 23,76
156;€ 25,90;€ 20,72;€ 15,54;€ 23,76
157;€ 26,00;€ 20,80;€ 15,60;€ 23,85
158;€ 26,10;€ 20,88;€ 15,66;€ 23,94
159;€ 26,20;€ 20,96;€ 15,72;€ 24,04
160;€ 26,30;€ 21,04;€ 15,78;€ 24,13
161;€ 26,30;€ 21,04;€ 15,78;€ 24,13
162;€ 26,40;€ 21,12;€ 15,84;€ 24,22
163;€ 26,50;€ 21,20;€ 15,90;€ 24,31
164;€ 26,60;€ 21,28;€ 15,96;€ 24,40
165;€ 26,70;€ 21,36;€ 16,02;€ 24,50
166;€ 26,70;€ 21,36;€ 16,02;€ 24,50
167;€ 26,80;€ 21,44;€ 16,08;€ 24,59
168;€ 26,90;€ 21,52;€ 16,14;€ 24,68
169;€ 24,00;€ 21,60;€ 16,20;€ 24,77
170;€ 24,10;€ 21,68;€ 16,26;€ 24,86
171;€ 27,10;€ 21,68;€ 16,26;€ 24,86
172;€ 27,20;€ 21,76;€ 16,32;€ 24,95
173;€ 24,30;€ 21,84;€ 16,38;€ 25,05
174;€ 27,40;€ 21,92;€ 16,44;€ 25,14
175;€ 24,50;€ 27,00;€ 16,50;€ 25,23
176;€ 27,50;€ 27,00;€ 16,50;€ 25,23
177;€ 27,60;€ 27,08;€ 16,56;€ 25,32
178;€ 27,70;€ 27,16;€ 16,62;€ 25,41
179;€ 27,80;€ 27,24;€ 16,68;€ 25,50
180;€ 27,80;€ 27,24;€ 16,68;€ 25,50
181;€ 27,90;€ 27,32;€ 16,74;€ 25,60
182;€ 28,00;€ 27,40;€ 16,80;€ 25,69
183;€ 28,10;€ 28,48;€ 16,86;€ 25,78
184;€ 28,20;€ 27,56;€ 16,92;€ 25,87
185;€ 28,20;€ 27,56;€ 16,92;€ 25,87
186;€ 28,30;€ 27,64;€ 16,98;€ 25,96
187;€ 28,40;€ 27,72;€ 17,04;€ 26,06
188;€ 28,50;€ 27,80;€ 17,10;€ 26,15
189;€ 28,60;€ 27,88;€ 17,16;€ 26,24
190;€ 28,60;€ 27,88;€ 17,16;€ 26,24
191;€ 28,70;€ 27,96;€ 17,22;€ 26,33
192;€ 28,80;€ 23,04;€ 17,28;€ 26,42
193;€ 28,90;€ 23,12;€ 17,34;€ 26,51
194;€ 29,00;€ 23,20;€ 17,40;€ 26,61
195;€ 29,00;€ 23,20;€ 17,40;€ 26,61
196;€ 29,10;€ 23,28;€ 17,46;€ 26,70
197;€ 29,20;€ 23,36;€ 17,52;€ 26,79
198;€ 29,30;€ 23,44;€ 17,58;€ 26,88
199;€ 29,40;€ 23,52;€ 17,64;€ 26,97
200;€ 29,40;€ 23,52;€ 17,64;€ 26,97
